[DBG] sensorHeight=65.0
Returned to Origin, Ready to Scan
[DBG] numPts=1500
60.00 420.00 28.00
60.00 430.00 27.00
60.00 440.00 30.00
60.00 450.00 29.00
60.00 460.00 28.00
60.00 470.00 28.00
60.00 480.00 27.00
60.00 490.00 29.00
60.00 500.00 27.00
70.00 500.00 27.00
70.00 490.00 28.00
70.00 480.00 30.00
70.00 470.00 28.00
70.00 460.00 30.00
70.00 450.00 31.00
70.00 440.00 30.00
70.00 430.00 30.00
70.00 420.00 28.00
70.00 410.00 29.00
70.00 400.00 28.00
70.00 390.00 25.00
70.00 380.00 27.00
70.00 370.00 27.00
70.00 360.00 25.00
70.00 350.00 25.00
70.00 340.00 26.00
70.00 330.00 25.00
70.00 320.00 24.00
70.00 310.00 24.00
70.00 300.00 24.00
70.00 290.00 23.00
70.00 280.00 24.00
70.00 270.00 24.00
70.00 260.00 23.00
70.00 250.00 24.00
70.00 240.00 23.00
70.00 230.00 24.00
70.00 220.00 24.00
70.00 210.00 25.00
70.00 200.00 24.00
70.00 190.00 24.00
70.00 180.00 23.00
70.00 170.00 23.00
70.00 160.00 23.00
70.00 150.00 24.00
70.00 140.00 23.00
70.00 130.00 23.00
70.00 120.00 23.00
70.00 110.00 21.00
70.00 100.00 20.00
70.00 90.00 20.00
70.00 80.00 19.00
70.00 70.00 20.00
70.00 60.00 18.00
70.00 50.00 17.00
70.00 40.00 17.00
70.00 30.00 16.00
70.00 20.00 15.00
70.00 10.00 15.00
70.00 0.00 14.00
80.00 0.00 14.00
80.00 10.00 13.00
80.00 20.00 14.00
80.00 30.00 14.00
80.00 40.00 15.00
80.00 50.00 17.00
80.00 60.00 18.00
80.00 70.00 19.00
80.00 80.00 19.00
80.00 90.00 20.00
80.00 100.00 20.00
80.00 110.00 20.00
80.00 120.00 20.00
80.00 130.00 20.00
80.00 140.00 20.00
80.00 150.00 21.00
80.00 160.00 21.00
80.00 170.00 20.00
80.00 180.00 21.00
80.00 190.00 21.00
80.00 200.00 24.00
80.00 210.00 23.00
80.00 220.00 21.00
80.00 230.00 23.00
80.00 240.00 21.00
80.00 250.00 23.00
80.00 260.00 23.00
80.00 270.00 24.00
80.00 280.00 24.00
80.00 290.00 21.00
80.00 300.00 24.00
80.00 310.00 23.00
80.00 320.00 24.00
80.00 330.00 24.00
80.00 340.00 24.00
80.00 350.00 24.00
80.00 360.00 26.00
80.00 370.00 25.00
80.00 380.00 26.00
80.00 390.00 27.00
80.00 400.00 26.00
80.00 410.00 28.00
80.00 420.00 27.00
80.00 430.00 29.00
80.00 440.00 30.00
80.00 450.00 30.00
80.00 460.00 30.00
80.00 470.00 30.00
80.00 480.00 30.00
80.00 490.00 28.00
80.00 500.00 29.00
90.00 500.00 27.00
90.00 490.00 28.00
90.00 480.00 30.00
90.00 470.00 29.00
90.00 460.00 30.00
90.00 450.00 30.00
90.00 440.00 31.00
90.00 430.00 31.00
90.00 420.00 28.00
90.00 410.00 29.00
90.00 400.00 27.00
90.00 390.00 27.00
90.00 380.00 26.00
90.00 370.00 25.00
90.00 360.00 26.00
90.00 350.00 25.00
90.00 340.00 24.00
90.00 330.00 24.00
90.00 320.00 23.00
90.00 310.00 24.00
90.00 300.00 24.00
90.00 290.00 24.00
90.00 280.00 24.00
90.00 270.00 24.00
90.00 260.00 24.00
90.00 250.00 23.00
90.00 240.00 24.00
90.00 230.00 23.00
90.00 220.00 24.00
90.00 210.00 24.00
90.00 200.00 24.00
90.00 190.00 24.00
90.00 180.00 23.00
90.00 170.00 23.00
90.00 160.00 21.00
90.00 150.00 23.00
90.00 140.00 21.00
90.00 130.00 23.00
90.00 120.00 23.00
90.00 110.00 23.00
90.00 100.00 21.00
90.00 90.00 23.00
90.00 80.00 21.00
90.00 70.00 20.00
90.00 60.00 19.00
90.00 50.00 17.00
90.00 40.00 16.00
90.00 30.00 17.00
90.00 20.00 16.00
90.00 10.00 15.00
90.00 0.00 14.00
100.00 0.00 14.00
100.00 10.00 14.00
100.00 20.00 14.00
100.00 30.00 14.00
100.00 40.00 15.00
100.00 50.00 16.00
100.00 60.00 18.00
100.00 70.00 19.00
100.00 80.00 20.00
100.00 90.00 19.00
100.00 100.00 20.00
100.00 110.00 20.00
100.00 120.00 20.00
100.00 130.00 19.00
100.00 140.00 20.00
100.00 150.00 20.00
100.00 160.00 21.00
100.00 170.00 21.00
100.00 180.00 21.00
100.00 190.00 21.00
100.00 200.00 23.00
100.00 210.00 21.00
100.00 220.00 21.00
100.00 230.00 21.00
100.00 240.00 24.00
100.00 250.00 20.00
100.00 260.00 21.00
100.00 270.00 21.00
100.00 280.00 23.00
100.00 290.00 24.00
100.00 300.00 23.00
100.00 310.00 23.00
100.00 320.00 23.00
100.00 330.00 23.00
100.00 340.00 24.00
100.00 350.00 24.00
100.00 360.00 24.00
100.00 370.00 25.00
100.00 380.00 25.00
100.00 390.00 27.00
100.00 400.00 27.00
100.00 410.00 26.00
100.00 420.00 28.00
100.00 430.00 28.00
100.00 440.00 28.00
100.00 450.00 29.00
100.00 460.00 29.00
100.00 470.00 29.00
100.00 480.00 30.00
100.00 490.00 30.00
100.00 500.00 28.00
110.00 500.00 28.00
110.00 490.00 28.00
110.00 480.00 27.00
110.00 470.00 31.00
110.00 460.00 30.00
110.00 450.00 30.00
110.00 440.00 29.00
110.00 430.00 29.00
110.00 420.00 28.00
110.00 410.00 28.00
110.00 400.00 27.00
110.00 390.00 28.00
110.00 380.00 28.00
110.00 370.00 26.00
110.00 360.00 26.00
110.00 350.00 25.00
110.00 340.00 24.00
110.00 330.00 24.00
110.00 320.00 24.00
110.00 310.00 24.00
110.00 300.00 23.00
110.00 290.00 23.00
110.00 280.00 24.00
110.00 270.00 24.00
